day,teacher_id,hours
Monday,1,"1,2,3,4"
Tuesday,1,"2,3,5,6"
Wednesday,1,"4,5,6,"
Thursday,1,"1,2,3,4"
Friday,1,"3,4,5,6,7"
,,
Monday,2,"1,2,3,5"
Tuesday,2,"5,6,7"
Wednesday,2,"2,3,4,5"
Thursday,2,"3,5,6"
Friday,2,"1,2,3,4"
,,
Monday,3,"1,3"
Tuesday,3,"2,5"
Wednesday,3,"3,7"
Thursday,3,"4,6"
Friday,3,"3,4,5,6,7"
,,
Monday,4,"3,4,6"
Tuesday,4,"1,4,7"
Wednesday,4,"2,3,6"
Thursday,4,"1,2,3,"
Friday,4,"3,5,6"
,,
Monday,5,"2,4,6"
Tuesday,5,"3,5,6"
Wednesday,5,"1,2,3,4,5"
Thursday,5,"3,5,6"
Friday,5,"2,4,6"
,,
Monday,6,"4,5,6,"
Tuesday,6,"2,4,6"
Wednesday,6,"1,2,3,"
Thursday,6,"2,4,5"
Friday,6,"2,4,6"
,,
Monday,7,"2,7"
Tuesday,7,"3,5,6"
Wednesday,7,"2,5"
Thursday,7,"1,6"
Friday,7,"4,7"
,,
Monday,8,"2,5,7"
Tuesday,8,"1,5,6"
Wednesday,8,"3,5,6"
Thursday,8,"1,5,6"
Friday,8,"4,6"
,,
Monday,9,"2,4,"
Tuesday,9,"2,4,"
Wednesday,9,"5,6,7"
Thursday,9,"3,4,"
Friday,9,"5,6,7"
,,
Monday,10,"5,6,7"
Tuesday,10,"3,5,6"
Wednesday,10,"3,5,6"
Thursday,10,"1,3"
Friday,10,"3,5,6"
,,
Monday,11,"2,4,"
Tuesday,11,"1,7"
Wednesday,11,"4,6"
Thursday,11,"2,6"
Friday,11,"3,5,6"
,,
Monday,12,"2,5"
Tuesday,12,"1,6"
Wednesday,12,"1,6"
Thursday,12,"3,4,"
Friday,12,"4,6"
,,
Monday,13,"4,5"
Tuesday,13,"4,5,6,"
Wednesday,13,"6,7"
Thursday,13,"1,2"
Friday,13,"3,4,"
,,
Monday,14,"1,4"
Tuesday,14,"2,6"
Wednesday,14,"4,5"
Thursday,14,"1,2"
Friday,14,"3,6"
,,
Monday,15,"2,6"
Tuesday,15,"3,6"
Wednesday,15,"1,6"
Thursday,15,"2,6"
Friday,15,"2,4,"
